file,canon_target,status_bucket,http_status,notes
404.html,https://canalizador-norte-reparos.pt/404,self-ref-ok,,canonical matches source route
admin/index.html,,no-canonical,,no canonical link found
admin/preview-carte.html,,no-canonical,,no canonical link found
admin/track.html,https://canalizador-norte-reparos.pt/admin/track,self-ref-ok,,canonical matches source route
areas-atuacao.html,https://canalizador-norte-reparos.pt/areas-atuacao,self-ref-ok,,canonical matches source route
aumento-pressao-agua-casa.html,https://canalizador-norte-reparos.pt/aumento-pressao-agua-casa,self-ref-ok,,canonical matches source route
autoclismo-perder-agua.html,https://canalizador-norte-reparos.pt/autoclismo-perder-agua,self-ref-ok,,canonical matches source route
avaliacoes-clientes.html,https://canalizador-norte-reparos.pt/avaliacoes-clientes,self-ref-ok,,canonical matches source route
blog/agua-amarela-torneira-causa.html,https://canalizador-norte-reparos.pt/blog/agua-amarela-torneira-causa,self-ref-ok,,canonical matches source route
blog/agua-amarela-torneira.html,https://canalizador-norte-reparos.pt/blog/agua-amarela-torneira,self-ref-ok,,canonical matches source route
blog/agua-calcario-solucoes.html,https://canalizador-norte-reparos.pt/blog/agua-calcario-solucoes,self-ref-ok,,canonical matches source route
blog/agua-castanha-torneira-causas.html,https://canalizador-norte-reparos.pt/blog/agua-castanha-torneira-causas,self-ref-ok,,canonical matches source route
blog/agua-castanha-torneira-o-que-fazer.html,https://canalizador-norte-reparos.pt/blog/agua-castanha-torneira-o-que-fazer,self-ref-ok,,canonical matches source route
blog/agua-com-cor-cheiro.html,https://canalizador-norte-reparos.pt/blog/agua-com-cor-cheiro,self-ref-ok,,canonical matches source route
blog/agua-dura-calcario-solucoes.html,https://canalizador-norte-reparos.pt/blog/agua-dura-calcario-solucoes,self-ref-ok,,canonical matches source route
blog/agua-fria-funciona-agua-quente-nao.html,https://canalizador-norte-reparos.pt/blog/agua-fria-funciona-agua-quente-nao,self-ref-ok,,canonical matches source route
blog/agua-morna-nao-fica-quente.html,https://canalizador-norte-reparos.pt/blog/agua-morna-nao-fica-quente,self-ref-ok,,canonical matches source route
blog/agua-no-teto-vizinho-cima.html,https://canalizador-norte-reparos.pt/blog/agua-no-teto-vizinho-cima,self-ref-ok,,canonical matches source route
blog/agua-poco-vs-rede-publica.html,https://canalizador-norte-reparos.pt/blog/agua-poco-vs-rede-publica,self-ref-ok,,canonical matches source route
blog/agua-quente-demora-chegar-causa.html,https://canalizador-norte-reparos.pt/blog/agua-quente-demora-chegar-causa,self-ref-ok,,canonical matches source route
